"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Dom Nunez","COL","66","262","227","46","10","2","10","30","31","30","84","2","1","1","",".203",".301",".397",".697",".299","","-0.5","-0.2","","0.5","","582.5","15055"
"Daniel Vogelbach","","42","182","151","35","6","0","8","23","23","28","42","1","0","0","",".230",".353",".425",".778",".340","","0.0","-0.5","","0.5","","600.5","14130"
"Vidal Brujan","TBR","39","168","153","36","8","1","3","20","17","12","30","1","12","4","",".238",".297",".362",".659",".288","","0.4","0.7","","0.5","","351.5","20536"
"Travis Shaw","","52","224","195","43","9","0","8","24","28","25","59","2","1","0","",".221",".314",".398",".712",".310","","-0.1","-0.5","","0.5","","599.1","11982"
"Cooper Hummel","ARI","42","182","155","38","7","2","5","23","20","22","42","3","2","1","",".243",".346",".410",".756",".331","","0.1","-0.2","","0.5","","999.0","sa918412"
"Michael Hermosillo","CHC","41","175","154","35","6","1","7","22","22","14","52","5","4","2","",".231",".314",".422",".736",".319","","0.3","0.0","","0.5","","598.9","16285"
"Nolan Gorman","STL","29","126","117","30","6","0","5","14","15","7","27","1","1","0","",".254",".298",".430",".728",".311","","0.7","0.0","","0.5","","463.9","sa3007017"
"Brent Rooker","MIN","65","280","245","54","12","1","13","35","36","25","92","6","1","1","",".220",".307",".436",".743",".319","","-2.0","-0.3","","0.4","","600.3","19627"
"Cam Gallagher","KCR","24","96","87","22","5","0","2","10","8","7","17","1","0","0","",".248",".306",".363",".670",".293","","0.5","-0.2","","0.4","","600.3","12981"
"Lars Nootbaar","STL","76","329","294","74","9","2","11","39","37","30","66","2","5","3","",".250",".321",".404",".725",".312","","0.8","-0.6","","0.4","","543.9","21454"
"Nick Senzel","CIN","52","224","202","52","11","2","6","28","23","18","45","1","6","3","",".259",".322",".418",".740",".320","","-0.1","-0.5","","0.4","","455.6","19293"
"Aristides Aquino","CIN","107","462","409","91","16","1","25","59","71","44","143","5","7","2","",".224",".304",".456",".760",".322","","-0.1","-0.1","","0.4","","586.4","15482"
"Nick Gordon","MIN","45","196","181","46","9","1","4","21","20","11","44","2","8","2","",".254",".302",".381",".682",".296","","-0.8","0.5","","0.4","","543.4","16337"
"Niko Goodrum","","57","245","219","48","11","1","6","27","24","22","76","2","8","3","",".220",".295",".368",".663",".290","","-0.6","0.5","","0.4","","561.2","12092"
"Yadiel Hernandez","WSN","99","427","387","102","16","1","16","51","56","34","97","2","3","2","",".263",".323",".433",".756",".324","","-0.9","-0.9","","0.4","","586.8","19334"
"Matt Beaty","LAD","79","343","308","79","16","1","9","43","47","24","61","9","3","1","",".257",".327",".407",".734",".320","","-1.2","-0.2","","0.4","","580.7","17710"
"Tyler Wade","NYY","75","322","287","66","13","2","4","38","25","28","79","3","18","6","",".229",".302",".332",".634",".281","","-1.1","1.2","","0.4","","445.7","15730"
"Robinson Cano","NYM","112","483","445","115","24","1","13","51","55","28","81","5","1","0","",".259",".308",".404",".712",".306","","-0.8","-1.1","","0.4","","485.2","3269"
"Rylan Bannon","BAL","44","189","167","36","7","1","7","20","21","18","42","2","3","1","",".216",".296",".393",".689",".299","","0.0","0.0","","0.4","","600.3","sa3004162"
"Andrew Knizner","STL","49","192","172","41","7","0","5","21","20","14","37","3","1","0","",".241",".309",".369",".678",".296","","0.3","0.0","","0.4","","594.6","19514"
"Tim Locastro","","40","175","154","37","9","1","3","22","15","10","35","9","7","2","",".243",".325",".374",".699",".309","","-0.7","0.5","","0.4","","594.6","15124"
"Eric Haase","DET","70","287","262","57","10","1","12","33","39","20","93","2","1","0","",".219",".279",".407",".686",".295","","0.0","-0.1","","0.4","","294.3","14111"
"Zach McKinstry","LAD","47","203","184","44","9","1","7","23","26","15","48","2","3","2","",".239",".300",".408",".709",".305","","-0.5","-0.4","","0.4","","593.6","19392"
"Danny Santana","","53","231","211","51","11","2","9","29","28","14","65","2","7","3","",".239",".293",".431",".724",".308","","-0.7","0.2","","0.4","","999.0","10322"
"Mauricio Dubon","SFG","29","126","116","30","5","0","3","14","13","7","22","1","2","1","",".263",".312",".395",".706",".305","","0.3","-0.1","","0.4","","579.2","16530"
"Mitch Moreland","","92","399","358","85","17","1","17","49","56","35","92","3","1","0","",".237",".307",".438",".745",".319","","-0.2","-1.2","","0.4","","596.6","3086"
"Stephen Vogt","","45","179","159","34","8","1","5","18","20","17","44","1","0","0","",".213",".291",".372",".663",".287","","-0.9","-0.5","","0.4","","999.0","5000"
"Danny Mendick","CHW","39","168","150","35","6","0","4","18","16","15","36","2","2","1","",".236",".307",".359",".666",".293","","0.6","-0.3","","0.4","","999.0","18889"
"Luis Torrens","SEA","73","306","278","66","13","1","10","32","37","23","76","2","0","1","",".236",".295",".402",".698",".300","","-0.2","-0.5","","0.4","","381.8","15905"
"Jon Berti","MIA","31","133","115","28","5","0","2","16","11","14","30","2","5","2","",".239",".329",".347",".677",".302","","-0.1","0.3","","0.4","","573.1","12037"
"Greg Allen","PIT","42","182","162","41","8","1","3","21","16","12","38","6","8","2","",".252",".325",".369",".694",".305","","0.8","0.5","","0.4","","599.5","16623"
"Luis Guillorme","NYM","26","112","97","25","4","0","2","12","9","13","20","1","1","1","",".256",".345",".350",".695",".309","","-0.3","-0.2","","0.4","","999.0","16451"
"Sergio Alcantara","CHC","57","245","214","48","7","1","4","26","20","26","62","2","3","1","",".226",".313",".330",".644",".286","","1.3","-0.1","","0.4","","999.0","16417"
"Seth Brown","OAK","126","546","499","114","26","3","24","65","75","37","161","3","6","2","",".229",".285",".436",".721",".305","","0.2","-0.4","","0.4","","469.2","18171"
"Clint Frazier","CHC","92","399","349","82","20","1","14","46","46","41","111","5","4","2","",".234",".322",".422",".744",".323","","-1.3","-0.7","","0.4","","425.1","15983"
"Isaac Paredes","DET","18","77","67","17","3","0","2","9","8","8","11","1","0","0","",".257",".340",".414",".753",".327","","0.1","-0.1","","0.4","","598.4","20036"
"Andrew Velazquez","LAA","34","147","134","31","7","1","3","18","15","10","42","1","8","2","",".234",".292",".374",".667",".290","","-0.4","0.6","","0.3","","999.0","14196"
"Jorge Mateo","BAL","84","364","341","81","17","4","8","38","34","16","98","4","13","6","",".237",".277",".382",".659",".283","","-0.7","0.0","","0.3","","439.2","17273"
"Ben Rortvedt","MIN","21","83","75","16","3","0","2","9","9","6","22","1","0","0","",".216",".280",".363",".643",".280","","0.9","0.0","","0.3","","999.0","20287"
"Nick Fortes","MIA","32","128","115","28","5","1","3","15","14","9","23","2","1","0","",".241",".305",".385",".689",".300","","-0.7","0.0","","0.3","","592.6","21538"
"David Bote","CHC","52","224","197","46","8","1","7","25","27","21","54","3","1","1","",".233",".314",".394",".708",".308","","-1.1","-0.2","","0.3","","594.6","14593"
"Garrett Stubbs","HOU","32","128","113","25","5","0","2","14","11","12","27","1","3","1","",".223",".301",".337",".638",".283","","1.1","0.1","","0.3","","999.0","18067"
"Triston Casas","BOS","32","140","124","31","6","1","5","18","17","13","31","1","2","1","",".255",".331",".443",".774",".333","","0.1","-0.1","","0.3","","493.0","sa3007634"
"D.J. Stewart","BAL","52","224","192","43","9","1","9","27","28","27","58","3","1","1","",".224",".324",".414",".739",".321","","-1.0","-0.2","","0.3","","600.2","17766"
"Gregory Polanco","","86","371","330","75","16","2","15","43","47","33","103","3","10","2","",".228",".300",".425",".725",".310","","-3.3","0.8","","0.3","","599.8","12907"
"Romy Gonzalez","CHW","28","119","109","25","5","0","5","14","15","8","35","1","4","1","",".233",".290",".407",".698",".300","","0.0","0.2","","0.3","","999.0","21562"
"Nicholas Allen","OAK","58","252","231","55","11","1","4","27","23","14","51","2","5","3","",".236",".286",".345",".630",".276","","0.2","-0.3","","0.3","","999.0","sa3004723"
"Richard Palacios","CLE","18","77","68","18","4","0","1","10","7","7","14","1","2","1","",".267",".341",".402",".744",".325","","-0.3","0.1","","0.3","","600.3","sa3006908"
"Shed Long Jr.","","65","280","253","58","12","2","8","30","29","23","76","1","4","2","",".229",".294",".380",".674",".293","","-1.4","0.0","","0.3","","999.0","16542"
"Kevin Pillar","","70","301","282","69","15","2","10","35","38","11","58","5","5","2","",".246",".284",".414",".697",".297","","-0.2","0.2","","0.3","","600.3","12434"
"Nomar Mazara","","89","385","349","85","16","1","13","43","48","28","98","4","2","1","",".243",".303",".405",".708",".305","","-0.7","-0.5","","0.3","","999.0","14553"
"Ronald Guzman","","53","231","205","47","10","1","9","26","28","21","65","3","1","1","",".229",".305",".415",".721",".310","","1.4","-0.4","","0.3","","999.0","14388"
"Justin Upton","LAA","78","336","295","65","11","0","16","42","45","34","100","4","3","1","",".222",".307",".418",".725",".314","","-3.0","-0.1","","0.3","","551.0","5222"
"Adam Eaton","","53","231","203","50","9","2","5","30","21","20","48","4","3","1","",".245",".325",".378",".703",".309","","-0.7","0.1","","0.3","","999.0","11205"
"Asdrubal Cabrera","CIN","62","266","237","56","13","1","8","30","35","25","60","2","1","0","",".237",".311",".401",".712",".308","","-1.3","-0.9","","0.3","","596.8","4962"
"Michael Chavis","PIT","107","462","424","103","19","2","19","54","59","25","132","7","4","2","",".243",".295",".433",".728",".311","","-1.0","-0.8","","0.3","","538.6","17321"
"Mike Brosseau","MIL","58","252","226","52","11","1","8","29","29","19","68","5","2","1","",".232",".302",".397",".700",".303","","0.4","-0.3","","0.3","","593.2","19683"
"Edward Olivares","KCR","29","126","115","30","5","1","4","14","14","8","24","2","3","1","",".260",".313",".419",".732",".315","","-0.3","0.0","","0.3","","552.8","19698"
"Rob Refsnyder","BOS","47","203","181","46","10","1","5","24","21","18","51","2","1","1","",".252",".324",".390",".715",".312","","-0.2","-0.3","","0.3","","999.0","13770"
"Vimael Machin","OAK","42","182","160","37","7","1","3","20","16","18","35","2","1","0","",".233",".313",".342",".654",".288","","-0.7","-0.1","","0.3","","999.0","17684"
"Reese McGuire","TOR","18","70","64","15","3","0","2","8","6","5","14","1","0","0","",".238",".295",".370",".665",".289","","0.2","0.0","","0.3","","598.5","15674"
"Jace Peterson","MIL","45","196","170","41","8","1","5","22","21","22","44","2","5","1","",".239",".330",".378",".708",".312","","-0.8","0.3","","0.3","","551.3","12325"
"Cristian Pache","ATL","52","224","206","47","10","1","6","26","23","14","62","2","4","3","",".230",".283",".382",".666",".288","","1.9","-0.5","","0.3","","577.0","19948"
"Jack Mayfield","LAA","36","154","141","33","7","0","5","17","19","9","34","2","2","1","",".232",".282",".400",".682",".293","","-0.5","0.0","","0.3","","999.0","15402"
"Riley Adams","WSN","81","326","284","62","13","1","10","35","33","30","105","8","1","0","",".220",".311",".377",".688",".303","","-0.9","-0.2","","0.3","","587.0","19864"
"Garrett Hampson","COL","109","469","426","105","19","5","11","58","42","34","114","3","19","6","",".247",".305",".393",".698",".301","","-3.1","1.5","","0.2","","274.6","19262"
"Raimel Tapia","COL","134","581","532","149","32","4","9","75","53","40","95","2","19","6","",".280",".330",".404",".734",".318","","-0.3","1.5","","0.2","","271.4","14350"
"Michael Stefanic","LAA","16","70","64","17","3","0","2","8","7","5","10","1","1","0","",".270",".329",".388",".717",".313","","0.2","-0.1","","0.2","","999.0","sa3008479"
"Jake Burger","CHW","13","56","51","13","2","0","2","7","7","4","13","1","0","0","",".253",".315",".441",".757",".325","","-0.1","-0.1","","0.2","","585.6","22275"
"Cole Tucker","PIT","81","350","311","72","15","3","6","38","31","32","80","2","7","3","",".230",".305",".358",".664",".291","","0.6","0.0","","0.2","","555.6","17326"
"Trevor Larnach","MIN","91","392","347","79","16","1","12","41","41","35","125","7","2","0","",".228",".309",".382",".691",".302","","-1.3","-0.5","","0.2","","517.0","21501"
"Jose Siri","HOU","53","231","213","49","9","2","7","27","28","13","79","2","9","3","",".230",".280",".392",".672",".289","","-1.9","0.4","","0.2","","539.8","17452"
"Zach Reks","LAD","37","161","143","33","6","0","6","19","19","14","49","2","1","0","",".234",".310",".400",".710",".309","","-0.4","-0.2","","0.2","","999.0","19667"
"Michael Perez","PIT","40","160","144","30","6","1","4","16","17","13","44","1","1","1","",".207",".277",".352",".630",".274","","1.2","-0.5","","0.2","","999.0","12977"
"Ronald Torreyes","PHI","45","196","181","45","8","1","4","19","20","10","25","2","1","1","",".250",".292",".363",".654",".283","","0.6","-0.1","","0.2","","596.9","11400"
"Harold Ramirez","CLE","50","217","203","56","12","1","6","24","26","10","38","3","2","1","",".278",".318",".431",".749",".321","","-1.0","0.0","","0.2","","514.7","14387"
"Brock Holt","","58","252","225","54","11","1","3","25","22","22","50","3","4","2","",".241",".315",".340",".655",".291","","0.0","-0.6","","0.2","","999.0","9345"
"Jake Rogers","DET","16","64","57","12","2","0","2","7","7","6","21","1","1","0","",".203",".282",".386",".668",".290","","0.6","0.0","","0.2","","600.8","19452"
"Bryan Lavastida","CLE","16","64","58","14","3","0","2","9","7","5","13","1","2","1","",".248",".311",".385",".696",".302","","-0.5","0.0","","0.2","","999.0","sa3006917"
"Luis Campusano","SDP","28","115","104","26","5","1","4","12","12","8","24","1","0","0","",".247",".309",".411",".720",".311","","-0.3","-0.1","","0.2","","999.0","22217"
"Robinson Chirinos","","29","115","100","21","4","0","4","12","13","11","36","3","0","0","",".210",".303",".374",".677",".296","","-1.0","-0.4","","0.2","","598.0","3142"
"Miguel Andujar","NYY","24","105","98","26","5","0","4","13","13","5","18","1","0","0","",".268",".307",".457",".763",".325","","-2.1","-0.1","","0.2","","585.2","15878"
"Ehire Adrianza","","45","196","174","43","9","1","4","23","19","16","40","3","1","1","",".245",".316",".378",".694",".303","","-1.4","-0.2","","0.2","","999.0","8418"
"Owen Miller","CLE","41","175","161","40","8","1","4","18","17","10","41","2","1","1","",".247",".297",".374",".670",".292","","0.5","-0.3","","0.2","","600.4","24655"
"Renato Nunez","","23","98","88","22","4","0","5","12","14","7","25","2","0","0","",".244",".310",".456",".766",".328","","0.1","-0.1","","0.2","","599.5","14503"
"Alan Trejo","COL","78","336","312","76","16","2","10","38","38","17","78","2","3","2","",".243",".286",".404",".689",".295","","1.3","-0.8","","0.2","","999.0","20056"
"Shogo Akiyama","CIN","53","231","206","53","10","1","5","26","22","20","46","3","4","3","",".256",".327",".381",".708",".310","","-0.2","-0.7","","0.2","","999.0","27461"
"Charlie Culberson","","42","182","167","41","9","1","4","19","18","11","45","2","3","1","",".243",".293",".385",".678",".292","","-0.5","0.1","","0.2","","597.2","3298"
"Jacob Nottingham","BAL","36","141","126","25","5","0","5","15","16","10","48","3","2","1","",".199",".270",".360",".630",".275","","-0.6","0.0","","0.2","","600.4","16448"
"Marwin Gonzalez","","83","357","321","75","14","0","9","37","39","26","83","6","3","2","",".234",".301",".366",".667",".292","","0.0","-0.8","","0.2","","999.0","5497"
"Luke Raley","LAD","15","63","57","14","2","0","3","8","9","3","18","2","1","0","",".238",".304",".429",".732",".315","","0.4","0.0","","0.2","","999.0","19354"
"Daniel Robertson","","34","147","126","28","5","0","3","16","12","16","38","3","1","1","",".220",".320",".327",".648",".291","","-0.4","-0.2","","0.2","","999.0","14145"
"James Ritchie","PIT","11","45","39","10","2","0","1","5","4","4","8","1","0","0","",".248",".331",".348",".679",".302","","0.0","-0.1","","0.2","","999.0","sa829058"
"Jesus Quiroz","TBR","13","56","49","11","3","0","2","7","6","6","14","1","0","0","",".225",".314",".380",".693",".305","","-0.2","0.0","","0.2","","999.0","sa596560"
"Jose Herrera","ARI","16","64","56","12","2","0","1","7","6","6","15","0","0","0","",".219",".300",".336",".636",".281","","0.6","-0.1","","0.2","","999.0","sa830295"
"Luke Maile","","26","102","91","19","4","0","1","11","9","9","30","1","1","0","",".206",".286",".304",".591",".265","","0.5","0.0","","0.2","","999.0","13355"
"Estevan Florial","NYY","42","182","163","35","7","1","6","20","20","16","58","1","5","3","",".216",".288",".378",".666",".290","","0.3","-0.3","","0.2","","600.7","19151"
"Josh Lowe","TBR","16","70","62","15","3","0","2","9","8","6","20","0","2","1","",".238",".311",".404",".716",".310","","-0.5","0.2","","0.2","","458.3","19953"
"Taylor Jones","HOU","15","63","56","14","3","0","2","8","8","6","16","1","0","0","",".247",".318",".416",".734",".317","","0.2","-0.1","","0.2","","999.0","19533"
"Anthony Bemboom","","19","77","68","14","2","0","2","8","7","6","19","1","0","0","",".206",".279",".338",".617",".272","","0.3","-0.1","","0.2","","999.0","13854"
"Geraldo Perdomo","ARI","24","105","92","21","4","1","1","11","8","10","23","2","2","1","",".231",".314",".335",".649",".288","","0.4","-0.2","","0.2","","592.3","22799"
"Jose Peraza","NYY","21","91","84","21","4","0","2","10","9","4","14","1","2","1","",".251",".299",".377",".675",".293","","-0.5","0.0","","0.2","","600.8","13593"
"Yonathan Daza","COL","73","315","291","81","15","2","4","32","29","18","55","2","4","2","",".278",".321",".385",".706",".307","","1.4","-0.4","","0.2","","600.9","15794"
"Willi Castro","DET","16","70","64","16","3","1","2","8","7","4","16","1","1","1","",".253",".302",".398",".699",".301","","-0.3","0.0","","0.2","","502.7","17338"
"Andrew Waters","ATL","58","252","228","55","12","1","6","26","22","19","76","3","9","3","",".240",".303",".380",".683",".298","","1.7","0.2","","0.1","","600.3","sa3004378"
"Daz Cameron","DET","39","168","151","35","7","1","4","19","17","13","45","3","5","2","",".231",".302",".387",".689",".300","","-0.7","0.1","","0.1","","597.8","18353"
"Justin Smoak","","57","245","209","45","9","1","10","29","30","30","62","3","1","1","",".218",".323",".407",".730",".318","","-0.8","-1.2","","0.1","","999.0","9054"
"Jake Marisnick","","50","217","197","44","9","2","7","25","24","13","68","5","5","2","",".221",".282",".383",".665",".288","","0.0","0.2","","0.1","","999.0","11339"
"Jordan Groshans","TOR","15","63","57","14","3","0","1","8","6","5","13","0","0","0","",".247",".307",".383",".690",".300","","0.2","0.0","","0.1","","600.4","sa3006893"
"Christin Stewart","BOS","26","112","100","24","5","1","5","13","16","10","30","2","0","0","",".239",".314",".447",".761",".323","","-1.0","-0.2","","0.1","","999.0","17714"
"Jonathan Aranda","TBR","18","77","69","17","3","0","2","9","8","6","17","1","1","0","",".248",".315",".393",".708",".308","","0.2","0.0","","0.1","","999.0","sa919293"
"Skye Bolt","OAK","16","70","63","14","3","0","2","7","7","6","19","1","1","0","",".218",".287",".361",".648",".282","","0.8","0.0","","0.1","","999.0","17723"
"Oswaldo Cabrera","NYY","11","49","45","11","2","0","2","6","6","3","12","0","1","1","",".234",".282",".399",".681",".293","","0.2","0.0","","0.1","","999.0","sa916954"
"Austin Romine","","36","141","133","32","6","0","3","14","16","6","39","0","0","0","",".238",".273",".362",".636",".275","","-0.3","-0.3","","0.1","","999.0","5491"
"Dustin Garneau","DET","13","51","46","9","2","0","2","6","6","4","14","1","0","0","",".204",".279",".389",".668",".289","","-0.1","-0.1","","0.1","","999.0","9433"
"Drew Ellis","ARI","29","126","110","24","6","0","4","14","13","12","35","2","0","0","",".215",".303",".371",".674",".296","","-0.1","-0.2","","0.1","","999.0","19873"
"Colton Welker","COL","104","448","405","104","21","2","14","52","52","32","97","4","3","1","",".256",".313",".419",".731",".314","","0.7","-0.5","","0.1","","585.4","19961"
"Jonathan Arauz","BOS","13","56","50","12","2","0","1","7","6","5","11","0","0","0","",".239",".303",".378",".682",".297","","0.3","0.0","","0.1","","999.0","20275"
"Yonny Hernandez","TEX","10","42","36","9","1","0","0","5","3","5","8","1","2","1","",".242",".344",".310",".653",".298","","0.2","0.0","","0.1","","593.3","19432"
"Rene Pinto","TBR","10","38","35","8","2","0","1","4","4","2","11","0","0","0","",".221",".270",".362",".632",".274","","0.3","0.0","","0.1","","999.0","sa826668"
"Taylor Trammell","SEA","21","91","80","17","3","0","3","10","9","9","28","1","2","1","",".208",".292",".358",".650",".286","","0.4","-0.1","","0.1","","600.9","19960"
"Elehuris Montero","COL","8","35","31","8","1","0","2","5","5","2","7","0","0","0","",".268",".326",".473",".799",".340","","0.0","0.0","","0.1","","589.1","sa872477"
"Colin Moran","","78","336","302","76","14","1","11","35","44","29","81","3","1","1","",".251",".318",".408",".726",".314","","-2.6","-1.4","","0.1","","577.4","16909"
"Brett Cumberland","BAL","10","38","33","6","1","0","1","4","4","4","12","2","0","0","",".192",".301",".342",".643",".288","","0.1","0.0","","0.1","","999.0","sa915611"
"Travis Demeritte","ATL","23","98","87","20","4","0","4","12","13","9","32","1","1","0","",".230",".307",".434",".741",".318","","-0.2","0.0","","0.1","","999.0","15958"
"Jason Vosler","SFG","8","35","31","7","2","0","1","4","4","3","8","0","0","0","",".239",".311",".411",".722",".311","","0.0","0.0","","0.1","","999.0","16686"
"Tucupita Marcano","PIT","19","84","75","18","3","0","1","10","7","7","13","0","2","1","",".244",".312",".340",".652",".289","","0.3","-0.1","","0.1","","600.6","22871"
"Tony Wolters","","23","90","79","17","3","0","1","9","8","8","20","2","1","0","",".216",".296",".304",".600",".268","","0.5","-0.2","","0.1","","999.0","11470"
"Brennen Davis","CHC","10","42","37","9","2","0","2","5","5","3","12","1","1","0","",".233",".311",".418",".729",".316","","-0.2","0.0","","0.1","","999.0","sa3007876"
"Franchy Cordero","BOS","18","77","69","17","4","0","2","10","9","6","24","1","1","0","",".243",".311",".416",".727",".314","","-0.2","0.1","","0.1","","999.0","14567"
"Alex Jackson","MIA","15","58","51","10","2","0","2","6","6","4","22","2","0","0","",".190",".270",".375",".645",".279","","0.1","0.0","","0.1","","999.0","17276"
"Donovan Walton","SEA","6","28","25","6","1","0","1","3","3","2","4","0","0","0","",".254",".321",".391",".712",".310","","-0.1","-0.1","","0.1","","999.0","19314"
"Jahmai Jones","BAL","26","112","101","23","4","1","3","12","11","9","28","1","2","1","",".228",".292",".371",".663",".289","","-0.3","-0.1","","0.1","","599.0","18872"
"Tyler Nevin","BAL","16","70","63","15","3","0","2","8","8","5","15","1","0","0","",".238",".303",".398",".701",".304","","-0.3","-0.1","","0.1","","999.0","17893"
"Zack Short","DET","8","35","30","6","1","0","1","4","4","4","10","0","0","0","",".207",".307",".372",".680",".298","","0.1","0.0","","0.1","","999.0","19562"
"Derek Hill","DET","49","210","193","46","6","2","4","23","19","13","61","2","6","3","",".237",".290",".360",".650",".284","","-1.0","-0.2","","0.1","","999.0","16947"
"Ryan Zimmerman","","65","280","258","62","14","0","12","30","42","18","76","1","1","0","",".240",".290",".436",".726",".310","","-0.1","-0.3","","0.1","","599.5","4220"
"Korey Lee","HOU","6","26","24","6","1","0","1","3","3","2","5","0","0","0","",".242",".291",".375",".667",".288","","0.1","0.0","","0.1","","999.0","sa3010034"
"Ryan Kreidler","DET","6","28","25","6","1","0","1","3","3","2","7","0","1","0","",".239",".299",".386",".685",".297","","0.1","0.0","","0.1","","999.0","sa3010587"
"Jaylin Davis","SFG","24","105","94","21","4","0","4","12","12","8","32","1","1","1","",".226",".295",".400",".695",".300","","0.2","-0.1","","0.1","","999.0","19552"
"Pablo Reyes","MIL","11","49","44","11","2","0","1","6","5","4","10","0","1","1","",".238",".300",".380",".680",".295","","0.2","-0.1","","0.1","","999.0","16357"
"Emmanuel Rivera","KCR","23","98","91","23","4","0","3","11","11","5","20","1","1","0","",".253",".298",".400",".698",".300","","-0.1","0.0","","0.1","","999.0","19890"
"Eric Sogard","","39","168","153","37","7","1","2","17","14","12","27","1","2","1","",".245",".302",".346",".648",".283","","-0.3","-0.1","","0.1","","999.0","7927"
"William Contreras","ATL","6","26","23","6","1","0","1","3","3","2","7","0","0","0","",".252",".320",".432",".752",".324","","-0.2","0.0","","0.1","","583.7","20503"
"Pedro Severino","MIL","63","250","224","52","10","1","7","24","28","21","62","2","1","0","",".233",".302",".372",".673",".294","","-2.1","-0.6","","0.1","","461.3","14523"
"Chris Owings","","29","126","114","25","5","1","3","13","13","9","39","1","3","1","",".218",".282",".366",".648",".281","","0.5","-0.1","","0.1","","600.7","10030"
"Kevin Padlo","SEA","8","35","31","6","1","0","1","4","4","3","11","0","0","0","",".204",".279",".377",".656",".284","","0.2","0.0","","0.1","","600.3","16593"
"Greg Cullen","BAL","11","49","43","10","2","0","1","5","4","5","11","1","0","0","",".229",".315",".347",".662",".294","","0.0","-0.1","","0.1","","999.0","sa3007069"
"Luis Barrera","OAK","45","196","179","42","8","2","2","20","16","13","41","1","4","2","",".236",".290",".341",".631",".277","","0.8","-0.1","","0.1","","999.0","19615"
"Kody Clemens","DET","10","42","38","9","2","0","1","5","5","3","10","0","0","0","",".232",".285",".400",".685",".294","","0.0","0.0","","0.1","","999.0","sa3008002"
"Brendon Davis","LAA","6","28","25","6","1","0","1","3","3","2","7","0","0","0","",".237",".297",".420",".717",".308","","-0.1","0.0","","0.1","","999.0","sa875089"
"Anthony Dungan","KCR","6","28","26","7","1","0","0","3","3","2","4","0","1","0","",".265",".313",".367",".680",".297","","0.1","0.0","","0.1","","999.0","sa1169803"
"Alejo Lopez","CIN","8","35","32","9","2","0","0","4","3","2","4","0","0","0","",".277",".334",".372",".706",".310","","0.1","0.0","","0.1","","999.0","21127"
"Edmund Burdick","MIA","10","42","37","8","2","0","1","5","4","4","12","1","1","0","",".214",".305",".383",".689",".301","","-0.3","-0.1","","0.1","","999.0","sa3009876"
"Tres Barrera","WSN","8","32","28","6","1","0","1","3","3","3","7","0","0","0","",".227",".299",".353",".651",".285","","-0.1","0.0","","0.1","","999.0","19977"
"Max Schrock","CIN","37","161","148","38","7","1","4","18","17","10","30","1","2","1","",".255",".307",".394",".701",".303","","0.0","-0.2","","0.1","","598.0","17750"
"Travis Jankowski","","32","140","122","30","5","1","1","16","10","15","28","1","4","2","",".244",".333",".324",".657",".292","","-0.6","0.0","","0.1","","999.0","13768"
"Connor Wong","BOS","6","26","24","6","1","0","1","3","3","1","8","0","0","0","",".233",".280",".405",".685",".294","","-0.1","0.0","","0.1","","999.0","19896"
"Rob Brantly","","5","19","17","4","1","0","0","2","2","1","3","0","0","0","",".246",".308",".376",".684",".298","","-0.1","0.0","","0.1","","999.0","10655"
"Taylor Ward","LAA","5","21","18","5","1","0","1","3","2","2","5","0","0","0","",".250",".334",".433",".767",".332","","-0.1","0.0","","0.1","","597.9","17548"
"Roman Quinn","","32","140","125","28","5","2","2","16","11","10","41","3","8","3","",".221",".294",".335",".629",".279","","-0.3","0.4","","0.1","","999.0","13546"
"John Nogowski","SFG","45","196","172","42","8","0","4","23","21","19","33","3","2","1","",".243",".326",".366",".691",".306","","1.2","-0.3","","0.1","","600.0","16852"
"Juan Lagares","","42","182","170","43","9","1","3","20","19","9","44","1","1","1","",".251",".292",".379",".671",".289","","0.3","-0.2","","0.1","","999.0","5384"
"Patrick Mazeika","NYM","8","32","29","6","1","0","1","3","3","2","6","0","0","0","",".224",".285",".360",".645",".281","","-0.3","0.0","","0.1","","999.0","18142"
"Jake McCarthy","ARI","79","343","309","70","13","5","8","38","34","27","92","3","18","5","",".226",".294",".381",".674",".293","","-0.9","1.2","","0.1","","600.5","21622"
"Brian Goodwin","","44","189","168","38","9","1","6","21","21","18","52","1","2","1","",".226",".304",".386",".690",".300","","-1.8","-0.2","","0.1","","600.6","12858"
"Ali Sanchez","STL","8","32","30","7","1","0","0","3","3","2","6","0","0","0","",".239",".283",".328",".611",".268","","0.2","-0.1","","0.1","","999.0","18551"
"Joe Panik","","47","203","183","45","8","1","3","20","17","16","26","2","2","1","",".245",".311",".341",".652",".287","","-1.4","-0.3","","0.1","","999.0","11936"
"Tyler White","","8","35","30","7","2","0","1","5","4","4","7","0","0","0","",".240",".338",".395",".733",".322","","0.1","-0.1","","0.1","","999.0","15564"
"Isan Diaz","MIA","28","119","105","24","5","0","3","13","12","12","31","1","1","1","",".224",".309",".363",".672",".293","","-0.2","-0.2","","0.1","","600.4","17922"
"Jose Rondon","","10","42","38","9","2","0","2","5","5","3","10","0","1","0","",".234",".288",".408",".697",".299","","-0.1","0.0","","0.1","","999.0","14140"
